Trace ID,Residence Time (sec)
Set 1
      T1,3.7639e-01
      T2,3.7098e-01
      T3,3.6073e-01
      T4,3.5448e-01
      T5,3.5380e-01
      T6,3.5486e-01
      T7,3.5883e-01
      T8,3.6337e-01
      T9,3.7155e-01
      T10,3.8537e-01
      T11,4.0036e-01
      T12,4.2187e-01
      T13,4.6407e-01
      T14,5.1758e-01
      T15,6.5510e-01
      T16,5.4469e-01
      T17,4.4005e-01
      T18,4.1666e-01
      T19,3.9280e-01
      T20,3.7840e-01
      T21,3.6846e-01
      T22,3.5961e-01
      T23,3.5166e-01
      T24,3.4935e-01
      T25,3.4994e-01
      T26,3.5072e-01
      T27,3.5422e-01
      T28,3.6325e-01
      T29,3.7058e-01
      T30,3.7359e-01
      T31,3.7615e-01
      T32,3.6788e-01
      T33,3.5874e-01
      T34,3.5328e-01
      T35,3.5222e-01
      T36,3.5424e-01
      T37,3.5612e-01
      T38,3.6181e-01
      T39,3.7027e-01
      T40,3.8268e-01
      T41,3.9689e-01
      T42,4.1262e-01
      T43,4.3347e-01
      T44,4.5795e-01
      T45,5.6448e-01
      T46,4.9620e-01
      T47,4.3504e-01
      T48,4.0947e-01
      T49,3.8999e-01
      T50,3.7788e-01
      T51,3.6561e-01
      T52,3.5565e-01
      T53,3.5176e-01
      T54,3.4870e-01
      T55,3.4861e-01
      T56,3.4871e-01
      T57,3.5005e-01
      T58,3.5934e-01
      T59,3.6888e-01
      T60,3.7418e-01
      T61,3.7309e-01
      T62,3.6390e-01
      T63,3.5711e-01
      T64,3.5268e-01
      T65,3.5108e-01
      T66,3.5040e-01
      T67,3.5344e-01
      T68,3.5847e-01
      T69,3.6532e-01
      T70,3.7544e-01
      T71,3.8758e-01
      T72,4.0075e-01
      T73,4.1941e-01
      T74,4.4795e-01
      T75,7.3761e-01
      T76,5.0215e-01
      T77,4.2560e-01
      T78,4.0375e-01
      T79,3.8419e-01
      T80,3.7175e-01
      T81,3.6100e-01
      T82,3.5378e-01
      T83,3.4858e-01
      T84,3.4539e-01
      T85,3.4532e-01
      T86,3.4646e-01
      T87,3.4842e-01
      T88,3.5344e-01
      T89,3.6351e-01
      T90,3.7262e-01
      T91,3.7211e-01
      T92,3.6123e-01
      T93,3.5523e-01
      T94,3.5126e-01
      T95,3.4868e-01
      T96,3.4820e-01
      T97,3.5011e-01
      T98,3.5654e-01
      T99,3.6236e-01
      T100,3.7165e-01
      T101,3.8138e-01
      T102,3.9483e-01
      T103,4.0933e-01
      T104,4.3956e-01
      T105,4.9607e-01
      T106,4.7487e-01
      T107,4.2445e-01
      T108,3.9902e-01
      T109,3.8472e-01
      T110,3.7063e-01
      T111,3.5873e-01
      T112,3.5033e-01
      T113,3.4674e-01
      T114,3.4332e-01
      T115,3.4320e-01
      T116,3.4508e-01
      T117,3.4810e-01
      T118,3.5273e-01
      T119,3.5998e-01
      T120,3.6929e-01
      T121,3.7134e-01
      T122,3.6372e-01
      T123,3.5565e-01
      T124,3.4858e-01
      T125,3.4470e-01
      T126,3.4439e-01
      T127,3.4628e-01
      T128,3.5033e-01
      T129,3.5634e-01
      T130,3.6309e-01
      T131,3.7555e-01
      T132,3.8657e-01
      T133,4.0135e-01
      T134,4.2502e-01
      T135,5.2115e-01
      T136,4.5851e-01
      T137,4.1316e-01
      T138,3.8944e-01
      T139,3.7635e-01
      T140,3.6263e-01
      T141,3.5348e-01
      T142,3.4859e-01
      T143,3.4199e-01
      T144,3.3871e-01
      T145,3.3918e-01
      T146,3.4168e-01
      T147,3.4674e-01
      T148,3.5367e-01
      T149,3.6083e-01
      T150,3.6793e-01
      T151,3.7124e-01
      T152,3.6407e-01
      T153,3.5143e-01
      T154,3.4372e-01
      T155,3.4250e-01
      T156,3.4237e-01
      T157,3.4275e-01
      T158,3.4616e-01
      T159,3.5023e-01
      T160,3.5921e-01
      T161,3.7044e-01
      T162,3.7859e-01
      T163,3.9123e-01
      T164,4.1414e-01
      T165,4.6010e-01
      T166,4.4693e-01
      T167,4.0214e-01
      T168,3.8037e-01
      T169,3.6888e-01
      T170,3.6113e-01
      T171,3.5168e-01
      T172,3.4469e-01
      T173,3.3931e-01
      T174,3.3726e-01
      T175,3.3809e-01
      T176,3.3767e-01
      T177,3.4088e-01
      T178,3.5082e-01
      T179,3.6283e-01
      T180,3.6851e-01
      T181,3.6938e-01
      T182,3.5812e-01
      T183,3.4544e-01
      T184,3.4022e-01
      T185,3.3848e-01
      T186,3.3829e-01
      T187,3.3748e-01
      T188,3.4002e-01
      T189,3.4539e-01
      T190,3.5102e-01
      T191,3.6152e-01
      T192,3.6904e-01
      T193,3.7956e-01
      T194,3.9753e-01
      T195,4.4905e-01
      T196,4.2600e-01
      T197,3.8888e-01
      T198,3.7069e-01
      T199,3.6092e-01
      T200,3.5306e-01
      T201,3.4459e-01
      T202,3.3881e-01
      T203,3.3271e-01
      T204,3.3136e-01
      T205,3.3349e-01
      T206,3.3411e-01
      T207,3.3687e-01
      T208,3.4249e-01
      T209,3.5715e-01
      T210,3.6572e-01
      T211,3.6339e-01
      T212,3.5203e-01
      T213,3.4368e-01
      T214,3.3897e-01
      T215,3.3560e-01
      T216,3.3333e-01
      T217,3.3316e-01
      T218,3.3711e-01
      T219,3.3901e-01
      T220,3.4602e-01
      T221,3.5504e-01
      T222,3.6241e-01
      T223,3.7461e-01
      T224,3.9004e-01
      T225,4.4962e-01
      T226,4.1170e-01
      T227,3.8026e-01
      T228,3.6604e-01
      T229,3.5454e-01
      T230,3.4687e-01
      T231,3.4121e-01
      T232,3.3548e-01
      T233,3.3073e-01
      T234,3.2813e-01
      T235,3.2882e-01
      T236,3.3212e-01
      T237,3.3585e-01
      T238,3.3995e-01
      T239,3.5077e-01
      T240,3.6208e-01
      T241,3.5771e-01
      T242,3.5091e-01
      T243,3.4435e-01
      T244,3.3677e-01
      T245,3.3094e-01
      T246,3.2783e-01
      T247,3.2766e-01
      T248,3.3224e-01
      T249,3.3493e-01
      T250,3.3729e-01
      T251,3.4592e-01
      T252,3.5450e-01
      T253,3.6779e-01
      T254,3.8828e-01
      T255,4.3210e-01
      T256,3.9876e-01
      T257,3.7118e-01
      T258,3.5886e-01
      T259,3.4599e-01
      T260,3.3867e-01
      T261,3.3156e-01
      T262,3.2967e-01
